17:19:18 | RunETL               | INFO     | Запуск ETL процесса...
17:19:20 | CategoryProcessor    | INFO     | <<< [КОНЕЦ] Обработка категории дтп. Время: 0.07 сек.
17:19:20 | ConditionsProcessor  | INFO     | >>> [НАЧАЛО] Обработка списков погоды и дорожных условий...
17:19:20 | ConditionsProcessor  | INFO     |    [i] Погода обработана.
17:19:20 | ConditionsProcessor  | WARNING  | Колонка 'road_conditions': 1 неизвестных тегов → 'road_other'. Примеры: [отсутствие_направляющих_устройств_и_световозвращающих_элементов_на_них]. Затронуто 20 строк (0.16%).
17:19:20 | ConditionsProcessor  | INFO     |    [i] Дорожные условия обработаны.
17:19:20 | ConditionsProcessor  | INFO     | <<< [КОНЕЦ] Обработка списков погоды и дорожных условий. Время: 0.27 сек.
17:19:20 | VehicleProcessor     | INFO     | >>> [НАЧАЛО] Обработка автомобилей (Счетчики, Возраст, Взаимодействие)...
17:19:21 | VehicleProcessor     | INFO     | <<< [КОНЕЦ] Обработка автомобилей (Счетчики, Возраст, Взаимодействие). Время: 0.74 сек.
17:19:21 | ParticipantProcessor | INFO     | >>> [НАЧАЛО] Обработка участников (Режим нарушений: post_event)...
17:19:22 | ParticipantProcessor | INFO     | <<< [КОНЕЦ] Обработка участников (Режим нарушений: post_event). Время: 0.91 сек.
17:19:22 | TargetProcessor      | INFO     | >>> [НАЧАЛО] Кодирование целевой переменной severity...
17:19:22 | TargetProcessor      | INFO     |    [i] Баланс классов: {0: 8987, 1: 2274, 2: 1143}
17:19:22 | TargetProcessor      | INFO     | <<< [КОНЕЦ] Кодирование целевой переменной severity. Время: 0.05 сек.
17:19:22 | DtpPipeline          | INFO     | ================================================================================
17:19:22 | DtpPipeline          | INFO     | ===== ЗАПУСК ОБРАБОТКИ ФАЙЛА: arkhangelskaia-oblast.geojson.zip =====
17:19:22 | DtpPipeline          | INFO     | ================================================================================
17:19:22 | JsonDataLoader       | INFO     | Загрузка: data/need_process\arkhangelskaia-oblast.geojson.zip
17:19:22 | JsonDataLoader       | INFO     | Чтение из архива: arkhangelskaia-oblast.geojson
17:19:22 | JsonDataLoader       | INFO     | Формат: GeoJSON.
17:19:22 | JsonDataLoader       | INFO     | Загружено строк: 12534. Колонок: 24
17:19:22 | CleaningProcessor    | INFO     | --- Запуск очистки данных ---
17:19:22 | CleaningProcessor    | INFO     | Удален технический мусор: ['id', 'coordinates', 'address']
17:19:22 | CleaningProcessor    | INFO     | Удалены поля с утечкой данных (Leakage): ['dead_count', 'injured_count', 'participants_count']
17:19:22 | TemporalProcessor    | INFO     | >>> [НАЧАЛО] Обработка времени и освещения...
17:19:23 | TemporalProcessor    | INFO     |    [i] Циклы времени созданы.
17:19:23 | TemporalProcessor    | INFO     |    [i] Свет обработан.
17:19:23 | TemporalProcessor    | INFO     |    [-] Колонка 'datetime' удалена.
17:19:23 | TemporalProcessor    | INFO     | <<< [КОНЕЦ] Обработка времени и освещения. Время: 0.09 сек.
17:19:23 | TagsProcessor        | INFO     | >>> [НАЧАЛО] Обработка объектов окружения (nearby)...
17:19:23 | TagsProcessor        | INFO     |    [i] Строк с тегами 'other': 6.89% (864/12534)
17:19:23 | TagsProcessor        | WARNING  | Примеры тегов, попавших в 'other': ['производственное_предприятие', 'объект_строительства', 'автостоянка_не_отделенная_от_проезжей_части', 'ледовая_переправа', 'объект_здание_сооружение_религиозного_культа', 'зоны_отдыха', 'автостоянка_отделенная_от_проезжей_части', 'иной_объект', 'кладбище', 'ледовая_переправа_официально_открытая_и_оборудованная']
17:19:23 | TagsProcessor        | INFO     | <<< [КОНЕЦ] Обработка объектов окружения (nearby). Время: 0.27 сек.
17:19:23 | SpatialProcessor     | INFO     | >>> [НАЧАЛО] Обработка географических признаков...
17:19:23 | SpatialProcessor     | INFO     |    [i] Координаты обработаны.
17:19:23 | SpatialProcessor     | INFO     |    [i] Регионы (дочерный и родительский) обработаны.
17:19:23 | SpatialProcessor     | INFO     |    [i] Схемы обработаны (fillna + split).
17:19:23 | SpatialProcessor     | INFO     | <<< [КОНЕЦ] Обработка географических признаков. Время: 0.13 сек.
17:19:23 | CategoryProcessor    | INFO     | >>> [НАЧАЛО] Обработка категории дтп...
17:19:23 | CategoryProcessor    | INFO     |    [i] Топ-3 категории: {'столкновение': 4909, 'наезд_на_пешехода': 3588, 'съезд_с_дороги': 1239}
17:19:23 | CategoryProcessor    | INFO     | <<< [КОНЕЦ] Обработка категории дтп. Время: 0.06 сек.
17:19:23 | ConditionsProcessor  | INFO     | >>> [НАЧАЛО] Обработка списков погоды и дорожных условий...
17:19:23 | ConditionsProcessor  | INFO     |    [i] Погода обработана.
17:19:23 | ConditionsProcessor  | WARNING  | Колонка 'road_conditions': 2 неизвестных тегов → 'road_other'. Примеры: [неудовлетворительное_состояние_разделительной_полосы, отсутствие_направляющих_устройств_и_световозвращающих_элементов_на_них]. Затронуто 12 строк (0.10%).
17:19:23 | ConditionsProcessor  | INFO     |    [i] Дорожные условия обработаны.
17:19:23 | ConditionsProcessor  | INFO     | <<< [КОНЕЦ] Обработка списков погоды и дорожных условий. Время: 0.29 сек.
17:19:23 | VehicleProcessor     | INFO     | >>> [НАЧАЛО] Обработка автомобилей (Счетчики, Возраст, Взаимодействие)...
17:19:24 | VehicleProcessor     | INFO     | <<< [КОНЕЦ] Обработка автомобилей (Счетчики, Возраст, Взаимодействие). Время: 0.74 сек.
17:19:24 | ParticipantProcessor | INFO     | >>> [НАЧАЛО] Обработка участников (Режим нарушений: post_event)...
17:19:25 | ParticipantProcessor | INFO     | <<< [КОНЕЦ] Обработка участников (Режим нарушений: post_event). Время: 0.91 сек.
17:19:25 | TargetProcessor      | INFO     | >>> [НАЧАЛО] Кодирование целевой переменной severity...
17:19:25 | TargetProcessor      | INFO     |    [i] Баланс классов: {0: 7507, 1: 4057, 2: 970}
17:19:25 | TargetProcessor      | INFO     | <<< [КОНЕЦ] Кодирование целевой переменной severity. Время: 0.05 сек.
17:19:25 | DtpPipeline          | INFO     | ================================================================================
17:19:25 | DtpPipeline          | INFO     | ===== ЗАПУСК ОБРАБОТКИ ФАЙЛА: astrakhanskaia-oblast.geojson.zip =====
17:19:25 | DtpPipeline          | INFO     | ================================================================================
17:19:25 | JsonDataLoader       | INFO     | Загрузка: data/need_process\astrakhanskaia-oblast.geojson.zip
17:19:25 | JsonDataLoader       | INFO     | Чтение из архива: astrakhanskaia-oblast.geojson
17:19:26 | JsonDataLoader       | INFO     | Формат: GeoJSON.
17:19:26 | JsonDataLoader       | INFO     | Загружено строк: 11961. Колонок: 24
17:19:26 | CleaningProcessor    | INFO     | --- Запуск очистки данных ---
17:19:26 | CleaningProcessor    | INFO     | Удален технический мусор: ['id', 'coordinates', 'address']
17:19:26 | CleaningProcessor    | INFO     | Удалены поля с утечкой данных (Leakage): ['dead_count', 'injured_count', 'participants_count']
17:19:26 | TemporalProcessor    | INFO     | >>> [НАЧАЛО] Обработка времени и освещения...
17:19:26 | TemporalProcessor    | INFO     |    [i] Циклы времени созданы.
17:19:26 | TemporalProcessor    | INFO     |    [i] Свет обработан.
17:19:26 | TemporalProcessor    | INFO     |    [-] Колонка 'datetime' удалена.
17:19:26 | TemporalProcessor    | INFO     | <<< [КОНЕЦ] Обработка времени и освещения. Время: 0.09 сек.
17:19:26 | TagsProcessor        | INFO     | >>> [НАЧАЛО] Обработка объектов окружения (nearby)...
17:19:26 | TagsProcessor        | INFO     |    [i] Строк с тегами 'other': 15.73% (1881/11961)
17:19:26 | TagsProcessor        | WARNING  | Примеры тегов, попавших в 'other': ['производственное_предприятие', 'место_для_перегона_скота', 'объект_строительства', 'автостоянка_не_отделенная_от_проезжей_части', 'объект_здание_сооружение_религиозного_культа', 'зоны_отдыха', 'автостоянка_отделенная_от_проезжей_части', 'иной_объект', 'кладбище']
17:19:26 | TagsProcessor        | INFO     | <<< [КОНЕЦ] Обработка объектов окружения (nearby). Время: 0.40 сек.
17:19:26 | SpatialProcessor     | INFO     | >>> [НАЧАЛО] Обработка географических признаков...
17:19:26 | SpatialProcessor     | INFO     |    [i] Координаты обработаны.
17:19:27 | SpatialProcessor     | INFO     |    [i] Регионы (дочерный и родительский) обработаны.
17:19:27 | SpatialProcessor     | INFO     |    [i] Схемы обработаны (fillna + split).
17:19:27 | SpatialProcessor     | INFO     | <<< [КОНЕЦ] Обработка географических признаков. Время: 0.13 сек.
17:19:27 | CategoryProcessor    | INFO     | >>> [НАЧАЛО] Обработка категории дтп...
17:19:27 | CategoryProcessor    | WARNING  | Колонка 'category': 1 новых значений вне Whitelist → заменены на 'иной_вид_дтп'. Примеры: [возгорание_вследствие_технической_неисправности_движущегося_или_остановившегося_тс_участвующего_в_дорожном_движении]. Затронуто 1 строк (0.01%).
17:19:27 | CategoryProcessor    | INFO     |    [i] Топ-3 категории: {'столкновение': 5085, 'наезд_на_пешехода': 3884, 'наезд_на_препятствие': 709}
17:19:27 | CategoryProcessor    | INFO     | <<< [КОНЕЦ] Обработка категории дтп. Время: 0.06 сек.
17:19:27 | ConditionsProcessor  | INFO     | >>> [НАЧАЛО] Обработка списков погоды и дорожных условий...
17:19:27 | ConditionsProcessor  | INFO     |    [i] Погода обработана.
17:19:27 | ConditionsProcessor  | WARNING  | Колонка 'road_conditions': 2 неизвестных тегов → 'road_other'. Примеры: [неудовлетворительное_состояние_разделительной_полосы, отсутствие_направляющих_устройств_и_световозвращающих_элементов_на_них]. Затронуто 25 строк (0.21%).
17:19:27 | ConditionsProcessor  | INFO     |    [i] Дорожные условия обработаны.
17:19:27 | ConditionsProcessor  | INFO     | <<< [КОНЕЦ] Обработка списков погоды и дорожных условий. Время: 0.31 сек.
17:19:27 | VehicleProcessor     | INFO     | >>> [НАЧАЛО] Обработка автомобилей (Счетчики, Возраст, Взаимодействие)...
17:19:28 | VehicleProcessor     | INFO     | <<< [КОНЕЦ] Обработка автомобилей (Счетчики, Возраст, Взаимодействие). Время: 0.70 сек.
17:19:28 | ParticipantProcessor | INFO     | >>> [НАЧАЛО] Обработка участников (Режим нарушений: post_event)...
17:19:28 | ParticipantProcessor | INFO     | <<< [КОНЕЦ] Обработка участников (Режим нарушений: post_event). Время: 0.80 сек.
17:19:28 | TargetProcessor      | INFO     | >>> [НАЧАЛО] Кодирование целевой переменной severity...
17:19:29 | TargetProcessor      | INFO     |    [i] Баланс классов: {0: 6799, 1: 4316, 2: 846}
17:19:29 | TargetProcessor      | INFO     | <<< [КОНЕЦ] Кодирование целевой переменной severity. Время: 0.05 сек.
17:19:29 | DtpPipeline          | INFO     | ================================================================================
17:19:29 | DtpPipeline          | INFO     | ===== ЗАПУСК ОБРАБОТКИ ФАЙЛА: belgorodskaia-oblast.geojson.zip =====
17:19:29 | DtpPipeline          | INFO     | ================================================================================
17:19:29 | JsonDataLoader       | INFO     | Загрузка: data/need_process\belgorodskaia-oblast.geojson.zip
17:19:29 | JsonDataLoader       | INFO     | Чтение из архива: belgorodskaia-oblast.geojson
17:19:29 | JsonDataLoader       | INFO     | Формат: GeoJSON.
17:19:29 | JsonDataLoader       | INFO     | Загружено строк: 12751. Колонок: 24
17:19:29 | CleaningProcessor    | INFO     | --- Запуск очистки данных ---
17:19:29 | CleaningProcessor    | INFO     | Удален технический мусор: ['id', 'coordinates', 'address']
17:19:29 | CleaningProcessor    | INFO     | Удалены поля с утечкой данных (Leakage): ['dead_count', 'injured_count', 'participants_count']
17:19:29 | TemporalProcessor    | INFO     | >>> [НАЧАЛО] Обработка времени и освещения...
17:19:30 | TemporalProcessor    | INFO     |    [i] Циклы времени созданы.
17:19:30 | TemporalProcessor    | INFO     |    [i] Свет обработан.
17:19:30 | TemporalProcessor    | INFO     |    [-] Колонка 'datetime' удалена.
17:19:30 | TemporalProcessor    | INFO     | <<< [КОНЕЦ] Обработка времени и освещения. Время: 0.10 сек.
17:19:30 | TagsProcessor        | INFO     | >>> [НАЧАЛО] Обработка объектов окружения (nearby)...
17:19:30 | TagsProcessor        | INFO     |    [i] Строк с тегами 'other': 10.41% (1328/12751)
17:19:30 | TagsProcessor        | WARNING  | Примеры тегов, попавших в 'other': ['производственное_предприятие', 'место_для_перегона_скота', 'объект_строительства', 'автостоянка_не_отделенная_от_проезжей_части', 'объект_здание_сооружение_религиозного_культа', 'зоны_отдыха', 'автостоянка_отделенная_от_проезжей_части', 'иной_объект', 'кладбище']
17:19:30 | TagsProcessor        | INFO     | <<< [КОНЕЦ] Обработка объектов окружения (nearby). Время: 0.26 сек.
17:19:30 | SpatialProcessor     | INFO     | >>> [НАЧАЛО] Обработка географических признаков...
17:19:30 | SpatialProcessor     | INFO     |    [i] Координаты обработаны.
17:19:30 | SpatialProcessor     | INFO     |    [i] Регионы (дочерный и родительский) обработаны.
17:19:30 | SpatialProcessor     | INFO     |    [i] Схемы обработаны (fillna + split).
17:19:30 | SpatialProcessor     | INFO     | <<< [КОНЕЦ] Обработка географических признаков. Время: 0.13 сек.
17:19:30 | CategoryProcessor    | INFO     | >>> [НАЧАЛО] Обработка категории дтп...
17:19:30 | CategoryProcessor    | WARNING  | Колонка 'category': 1 новых значений вне Whitelist → заменены на 'иной_вид_дтп'. Примеры: [наезд_на_гужевой_транспорт]. Затронуто 3 строк (0.02%).
17:19:30 | CategoryProcessor    | INFO     |    [i] Топ-3 категории: {'столкновение': 5862, 'наезд_на_пешехода': 3376, 'съезд_с_дороги': 1075}
17:19:30 | CategoryProcessor    | INFO     | <<< [КОНЕЦ] Обработка категории дтп. Время: 0.07 сек.
17:19:30 | ConditionsProcessor  | INFO     | >>> [НАЧАЛО] Обработка списков погоды и дорожных условий...
17:19:30 | ConditionsProcessor  | INFO     |    [i] Погода обработана.
17:19:30 | ConditionsProcessor  | WARNING  | Колонка 'road_conditions': 2 неизвестных тегов → 'road_other'. Примеры: [неудовлетворительное_состояние_разделительной_полосы, отсутствие_направляющих_устройств_и_световозвращающих_элементов_на_них]. Затронуто 18 строк (0.14%).
17:19:30 | ConditionsProcessor  | INFO     |    [i] Дорожные условия обработаны.
17:19:30 | ConditionsProcessor  | INFO     | <<< [КОНЕЦ] Обработка списков погоды и дорожных условий. Время: 0.29 сек.
17:19:30 | VehicleProcessor     | INFO     | >>> [НАЧАЛО] Обработка автомобилей (Счетчики, Возраст, Взаимодействие)...
17:19:31 | VehicleProcessor     | INFO     | <<< [КОНЕЦ] Обработка автомобилей (Счетчики, Возраст, Взаимодействие). Время: 0.75 сек.
17:19:31 | ParticipantProcessor | INFO     | >>> [НАЧАЛО] Обработка участников (Режим нарушений: post_event)...
17:19:32 | ParticipantProcessor | INFO     | <<< [КОНЕЦ] Обработка участников (Режим нарушений: post_event). Время: 0.81 сек.
17:19:32 | TargetProcessor      | INFO     | >>> [НАЧАЛО] Кодирование целевой переменной severity...
17:19:32 | TargetProcessor      | INFO     |    [i] Баланс классов: {0: 6332, 1: 4944, 2: 1475}
17:19:32 | TargetProcessor      | INFO     | <<< [КОНЕЦ] Кодирование целевой переменной severity. Время: 0.05 сек.
17:19:32 | DtpPipeline          | INFO     | ================================================================================
17:19:32 | DtpPipeline          | INFO     | ===== ЗАПУСК ОБРАБОТКИ ФАЙЛА: brianskaia-oblast.geojson.zip =====
17:19:32 | DtpPipeline          | INFO     | ================================================================================
17:19:32 | JsonDataLoader       | INFO     | Загрузка: data/need_process\brianskaia-oblast.geojson.zip
17:19:32 | JsonDataLoader       | INFO     | Чтение из архива: brianskaia-oblast.geojson
17:19:32 | JsonDataLoader       | INFO     | Формат: GeoJSON.
17:19:33 | JsonDataLoader       | INFO     | Загружено строк: 9899. Колонок: 24
17:19:33 | CleaningProcessor    | INFO     | --- Запуск очистки данных ---
17:19:33 | CleaningProcessor    | INFO     | Удален технический мусор: ['id', 'coordinates', 'address']
17:19:33 | CleaningProcessor    | INFO     | Удалены поля с утечкой данных (Leakage): ['dead_count', 'injured_count', 'participants_count']
17:19:33 | TemporalProcessor    | INFO     | >>> [НАЧАЛО] Обработка времени и освещения...
17:19:33 | TemporalProcessor    | INFO     |    [i] Циклы времени созданы.
17:19:33 | TemporalProcessor    | INFO     |    [i] Свет обработан.
17:19:33 | TemporalProcessor    | INFO     |    [-] Колонка 'datetime' удалена.
17:19:33 | TemporalProcessor    | INFO     | <<< [КОНЕЦ] Обработка времени и освещения. Время: 0.08 сек.
17:19:33 | TagsProcessor        | INFO     | >>> [НАЧАЛО] Обработка объектов окружения (nearby)...
17:19:33 | TagsProcessor        | INFO     |    [i] Строк с тегами 'other': 4.20% (416/9899)
17:19:33 | TagsProcessor        | WARNING  | Примеры тегов, попавших в 'other': ['производственное_предприятие', 'объект_строительства', 'автостоянка_не_отделенная_от_проезжей_части', 'объект_здание_сооружение_религиозного_культа', 'зоны_отдыха', 'автостоянка_отделенная_от_проезжей_части', 'иной_объект', 'кладбище']
17:19:33 | TagsProcessor        | INFO     | <<< [КОНЕЦ] Обработка объектов окружения (nearby). Время: 0.17 сек.
17:19:33 | SpatialProcessor     | INFO     | >>> [НАЧАЛО] Обработка географических признаков...
17:19:33 | SpatialProcessor     | INFO     |    [i] Координаты обработаны.
17:19:33 | SpatialProcessor     | INFO     |    [i] Регионы (дочерный и родительский) обработаны.
17:19:33 | SpatialProcessor     | INFO     |    [i] Схемы обработаны (fillna + split).
17:19:33 | SpatialProcessor     | INFO     | <<< [КОНЕЦ] Обработка географических признаков. Время: 0.10 сек.
17:19:33 | CategoryProcessor    | INFO     | >>> [НАЧАЛО] Обработка категории дтп...
17:19:33 | CategoryProcessor    | WARNING  | Колонка 'category': 1 новых значений вне Whitelist → заменены на 'иной_вид_дтп'. Примеры: [наезд_на_гужевой_транспорт]. Затронуто 7 строк (0.07%).
17:19:33 | CategoryProcessor    | INFO     |    [i] Топ-3 категории: {'столкновение': 3890, 'наезд_на_пешехода': 2651, 'съезд_с_дороги': 857}
17:19:33 | CategoryProcessor    | INFO     | <<< [КОНЕЦ] Обработка категории дтп. Время: 0.05 сек.
17:19:33 | ConditionsProcessor  | INFO     | >>> [НАЧАЛО] Обработка списков погоды и дорожных условий...
17:19:33 | ConditionsProcessor  | INFO     |    [i] Погода обработана.
17:19:33 | ConditionsProcessor  | WARNING  | Колонка 'road_conditions': 2 неизвестных тегов → 'road_other'. Примеры: [неудовлетворительное_состояние_разделительной_полосы, отсутствие_направляющих_устройств_и_световозвращающих_элементов_на_них]. Затронуто 9 строк (0.09%).
17:19:33 | ConditionsProcessor  | INFO     |    [i] Дорожные условия обработаны.
17:19:33 | ConditionsProcessor  | INFO     | <<< [КОНЕЦ] Обработка списков погоды и дорожных условий. Время: 0.22 сек.
17:19:33 | VehicleProcessor     | INFO     | >>> [НАЧАЛО] Обработка автомобилей (Счетчики, Возраст, Взаимодействие)...
17:19:34 | VehicleProcessor     | INFO     | <<< [КОНЕЦ] Обработка автомобилей (Счетчики, Возраст, Взаимодействие). Время: 0.59 сек.
17:19:34 | ParticipantProcessor | INFO     | >>> [НАЧАЛО] Обработка участников (Режим нарушений: post_event)...
17:19:35 | ParticipantProcessor | INFO     | <<< [КОНЕЦ] Обработка участников (Режим нарушений: post_event). Время: 0.65 сек.
17:19:35 | TargetProcessor      | INFO     | >>> [НАЧАЛО] Кодирование целевой переменной severity...
17:19:35 | TargetProcessor      | INFO     |    [i] Баланс классов: {0: 4463, 1: 4124, 2: 1312}
17:19:35 | TargetProcessor      | INFO     | <<< [КОНЕЦ] Кодирование целевой переменной severity. Время: 0.04 сек.
17:19:35 | DtpPipeline          | INFO     | ================================================================================
17:19:35 | DtpPipeline          | INFO     | ===== ЗАПУСК ОБРАБОТКИ ФАЙЛА: chechenskaia-respublika.geojson.zip =====
17:19:35 | DtpPipeline          | INFO     | ================================================================================
17:19:35 | JsonDataLoader       | INFO     | Загрузка: data/need_process\chechenskaia-respublika.geojson.zip
17:19:35 | JsonDataLoader       | INFO     | Чтение из архива: chechenskaia-respublika.geojson
17:19:35 | JsonDataLoader       | INFO     | Формат: GeoJSON.
17:19:35 | JsonDataLoader       | INFO     | Загружено строк: 2589. Колонок: 24
17:19:35 | CleaningProcessor    | INFO     | --- Запуск очистки данных ---
17:19:35 | CleaningProcessor    | INFO     | Удален технический мусор: ['id', 'coordinates', 'address']
17:19:35 | CleaningProcessor    | INFO     | Удалены поля с утечкой данных (Leakage): ['dead_count', 'injured_count', 'participants_count']
17:19:35 | TemporalProcessor    | INFO     | >>> [НАЧАЛО] Обработка времени и освещения...
17:19:35 | TemporalProcessor    | INFO     |    [i] Циклы времени созданы.
17:19:35 | TemporalProcessor    | INFO     |    [i] Свет обработан.
17:19:35 | TemporalProcessor    | INFO     |    [-] Колонка 'datetime' удалена.
17:19:35 | TemporalProcessor    | INFO     | <<< [КОНЕЦ] Обработка времени и освещения. Время: 0.03 сек.
17:19:35 | TagsProcessor        | INFO     | >>> [НАЧАЛО] Обработка объектов окружения (nearby)...
17:19:35 | TagsProcessor        | INFO     |    [i] Строк с тегами 'other': 3.51% (91/2589)
17:19:35 | TagsProcessor        | WARNING  | Примеры тегов, попавших в 'other': ['производственное_предприятие', 'место_для_перегона_скота', 'объект_строительства', 'автостоянка_не_отделенная_от_проезжей_части', 'объект_здание_сооружение_религиозного_культа', 'зоны_отдыха', 'автостоянка_отделенная_от_проезжей_части', 'кладбище', 'иной_объект']
17:19:35 | TagsProcessor        | INFO     | <<< [КОНЕЦ] Обработка объектов окружения (nearby). Время: 0.04 сек.
17:19:35 | SpatialProcessor     | INFO     | >>> [НАЧАЛО] Обработка географических признаков...
17:19:35 | SpatialProcessor     | INFO     |    [i] Координаты обработаны.
17:19:35 | SpatialProcessor     | INFO     |    [i] Регионы (дочерный и родительский) обработаны.
17:19:35 | SpatialProcessor     | INFO     |    [i] Схемы обработаны (fillna + split).
17:19:35 | SpatialProcessor     | INFO     | <<< [КОНЕЦ] Обработка географических признаков. Время: 0.04 сек.
17:19:35 | CategoryProcessor    | INFO     | >>> [НАЧАЛО] Обработка категории дтп...
17:19:35 | CategoryProcessor    | WARNING  | Колонка 'category': 2 новых значений вне Whitelist → заменены на 'иной_вид_дтп'. Примеры: [наезд_на_гужевой_транспорт, возгорание_вследствие_технической_неисправности_движущегося_или_остановившегося_тс_участвующего_в_дорожном_движении]. Затронуто 4 строк (0.15%).
17:19:35 | CategoryProcessor    | INFO     |    [i] Топ-3 категории: {'столкновение': 1393, 'наезд_на_пешехода': 443, 'съезд_с_дороги': 254}
17:19:35 | CategoryProcessor    | INFO     | <<< [КОНЕЦ] Обработка категории дтп. Время: 0.02 сек.
17:19:35 | ConditionsProcessor  | INFO     | >>> [НАЧАЛО] Обработка списков погоды и дорожных условий...
17:19:35 | ConditionsProcessor  | INFO     |    [i] Погода обработана.
17:19:35 | ConditionsProcessor  | WARNING  | Колонка 'road_conditions': 1 неизвестных тегов → 'road_other'. Примеры: [неудовлетворительное_состояние_разделительной_полосы]. Затронуто 3 строк (0.12%).
17:19:35 | ConditionsProcessor  | INFO     |    [i] Дорожные условия обработаны.
17:19:35 | ConditionsProcessor  | INFO     | <<< [КОНЕЦ] Обработка списков погоды и дорожных условий. Время: 0.05 сек.
17:19:35 | VehicleProcessor     | INFO     | >>> [НАЧАЛО] Обработка автомобилей (Счетчики, Возраст, Взаимодействие)...
17:19:35 | VehicleProcessor     | INFO     | <<< [КОНЕЦ] Обработка автомобилей (Счетчики, Возраст, Взаимодействие). Время: 0.15 сек.
17:19:35 | ParticipantProcessor | INFO     | >>> [НАЧАЛО] Обработка участников (Режим нарушений: post_event)...
17:19:35 | ParticipantProcessor | INFO     | <<< [КОНЕЦ] Обработка участников (Режим нарушений: post_event). Время: 0.21 сек.
17:19:35 | TargetProcessor      | INFO     | >>> [НАЧАЛО] Кодирование целевой переменной severity...
17:19:35 | TargetProcessor      | INFO     |    [i] Баланс классов: {0: 538, 1: 1308, 2: 743}
17:19:35 | TargetProcessor      | INFO     | <<< [КОНЕЦ] Кодирование целевой переменной severity. Время: 0.02 сек.
17:19:35 | DtpPipeline          | INFO     | ================================================================================
17:19:35 | DtpPipeline          | INFO     | ===== ЗАПУСК ОБРАБОТКИ ФАЙЛА: cheliabinskaia-oblast.geojson.zip =====
17:19:35 | DtpPipeline          | INFO     | ================================================================================
17:19:35 | JsonDataLoader       | INFO     | Загрузка: data/need_process\cheliabinskaia-oblast.geojson.zip
17:19:35 | JsonDataLoader       | INFO     | Чтение из архива: cheliabinskaia-oblast.geojson
17:19:37 | JsonDataLoader       | INFO     | Формат: GeoJSON.
17:19:39 | JsonDataLoader       | INFO     | Загружено строк: 41694. Колонок: 24
17:19:39 | CleaningProcessor    | INFO     | --- Запуск очистки данных ---
17:19:39 | CleaningProcessor    | INFO     | Удален технический мусор: ['id', 'coordinates', 'address']
